gene,p_value,fold_change
202189_x_at,6.8761512021753665e-06,0.9275970886908477
209542_x_at,6.900329460245292e-06,-0.9274610161402199
209297_at,6.907667232092472e-06,-0.9274198085315359
209122_at,6.981032277390225e-06,-0.9270100487410688
219549_s_at,7.2040551440402765e-06,-0.9257887912702734
209209_s_at,7.252943830269161e-06,-0.9255258296676729
202539_s_at,7.363544984088813e-06,0.9249370186769592
219569_s_at,7.748061968069215e-06,-0.9229526276981482
205883_at,7.757570607404951e-06,-0.9229047370262693
202018_s_at,7.76885113528567e-06,0.9228479935681944
213175_s_at,7.832328437896785e-06,0.9225301240590186
204482_at,7.947016446668809e-06,-0.9219618938030597
206262_at,8.033544199465413e-06,-0.9215382570614332
219230_at,8.109310317230679e-06,-0.9211708109465245
204589_at,8.12621911407312e-06,-0.9210892475469932
205560_at,8.206784799849607e-06,-0.920702795079239
203213_at,8.404997180498608e-06,0.9197669701608152
204422_s_at,8.551528248486186e-06,-0.9190883704301325
212457_at,9.146365905071508e-06,-0.916441185249367
204798_at,9.214841251988564e-06,0.9161468907209066
205404_at,9.32258091243726e-06,-0.9156879726763278
209184_s_at,9.339199968852419e-06,-0.9156176269295336
216321_s_at,9.3895828489002e-06,-0.9154050797277795
203669_s_at,9.487040930561806e-06,-0.9149969578050177
204162_at,9.756597918587972e-06,0.9138882899931208
201111_at,9.969801513440917e-06,0.9130315612110231
219433_at,1.0029052890994735e-05,0.9127965186003841
202376_at,1.0244604241079444e-05,0.9119522999681112
216095_x_at,1.0368316419520981e-05,0.9114752668635162
218313_s_at,1.0773921216775234e-05,0.9099478448395617
219778_at,1.0847177018597868e-05,-0.9096777399499119
201493_s_at,1.0898944458723886e-05,0.9094878950192096
212111_at,1.099305530580033e-05,-0.9091449204983277
213756_s_at,1.114216062219448e-05,-0.9086071201131962
221589_s_at,1.130709904265943e-05,-0.908020014465976
208858_s_at,1.1530697940942607e-05,-0.9072367921225071
201968_s_at,1.1533143523353251e-05,-0.9072283046906469
219028_at,1.1682704926144376e-05,-0.9067124286621089
209452_s_at,1.1714589938802226e-05,-0.9066032497763323
204115_at,1.1731257281760661e-05,-0.9065462891717999
203740_at,1.1747636766407722e-05,0.9064903861589029
209541_at,1.1804491380008298e-05,-0.9062969071064151
221671_x_at,1.1889150357565153e-05,0.9060104205790165
205792_at,1.1994963647349914e-05,-0.9056550234879747
209488_s_at,1.2152731344454799e-05,-0.9051305440838444
207233_s_at,1.2265337379908484e-05,-0.9047600866262924
211933_s_at,1.2303653086932023e-05,0.9046347598737072
204058_at,1.2361472438113211e-05,-0.9044463292323253
201380_at,1.2739689070432478e-05,-0.9032337280131493
201105_at,1.2993693793912296e-05,-0.9024381516739046
206702_at,1.3126930268602589e-05,-0.9020266442842131
212993_at,1.3556589241783735e-05,-0.9007257674578726
204170_s_at,1.3907745760633129e-05,0.899690936779801
243_g_at,1.3978524693493191e-05,-0.8994853234268745
210809_s_at,1.398670089516569e-05,0.8994616343442646
45288_at,1.4269156196457844e-05,-0.8986511307216656
207621_s_at,1.4449421914241744e-05,-0.8981416766285204
201416_at,1.47893968085243e-05,0.8971968516468816
212667_at,1.4818716856337335e-05,-0.8971163233802615
205357_s_at,1.5099780786080515e-05,-0.8963518535477083
206209_s_at,1.5158947764761113e-05,-0.896192623011782
202883_s_at,1.531343203622611e-05,-0.8957796004911482
220926_s_at,1.532627050517629e-05,0.8957454518643239
207121_s_at,1.538623919898937e-05,0.8955862968798591
41577_at,1.547208685532733e-05,-0.8953594675756762
218976_at,1.549815777561003e-05,0.895290815369618
41644_at,1.5562865822836066e-05,-0.8951208865112006
219913_s_at,1.5859059512483512e-05,0.8943514017891627
209100_at,1.5863053650645514e-05,-0.8943411175802024
214614_at,1.6310270064874084e-05,0.8932046672208658
205158_at,1.6330954072127038e-05,-0.8931528142015864
205890_s_at,1.638517054777487e-05,0.8930171892894135
215121_x_at,1.6430460241014503e-05,0.8929042166516002
37384_at,1.643800599324841e-05,-0.8928854225144995
204424_s_at,1.6529785650705456e-05,-0.8926574717398981
211966_at,1.6708006871984952e-05,-0.8922181909809579
210096_at,1.6992903655653967e-05,-0.8915249998564925
221651_x_at,1.739060689176059e-05,0.890575303150611
201704_at,1.7455168917108916e-05,0.8904230522851154
217979_at,1.7578506721300435e-05,0.8901336545750551
202481_at,1.80475192914804e-05,-0.8890502446103994
201150_s_at,1.8136283958693602e-05,-0.8888481682074512
221795_at,1.822213634143918e-05,-0.8886535998738219
217200_x_at,1.8250964965480093e-05,0.8885884574616117
