symbol,gene,p_value,log2FC,p_adj,significant
ACKR3,212977_at,0.0003822938496557308,-0.8568276943829289,0.009420235664745168,True
ACKR4,220351_at,0.013241801019674196,-0.4391143854527204,0.10772802195012782,False
ACLY,201127_s_at,0.18969779486576507,-0.2485936752415263,0.46313530875357106,False
ACN9,218981_at,0.7947203924908035,0.052659273708528076,0.9091605473533264,False
ACO1,207071_s_at,1.8577381168606906e-07,-0.8276307422283562,1.7466657577218045e-05,True
ACO2,217307_at,0.010222096935485755,-0.4583182465601645,0.09155103939446506,False
ACOT1 /// ACOT2,202982_s_at,3.292411817350681e-07,-1.8759638143467496,2.810912357318974e-05,True
ACOT11,214763_at,0.6084371834146318,0.05174918444271803,0.8089865599396289,False
ACOT13,204565_at,0.06512656672354292,-0.27461145219670335,0.2656659695748735,False
ACOT7,215728_s_at,0.008756014865382427,-0.31709395609618163,0.08323817373946955,False
ACOT8,204212_at,0.9388631823812272,-0.008556191081241948,0.9744510323664596,False
ACOT9,221641_s_at,0.8937304815946759,0.024993381968957173,0.9546062851775555,False
ACOX1,209600_s_at,0.002483570560052937,-0.5896764463696851,0.036601456871467986,True
ACOX2,205364_at,0.8847292084972798,-0.040843391500493986,0.9510092114300476,False
ACOX3,204242_s_at,0.22802235689971875,0.2586331613809456,0.5091714779834084,False
ACOXL,220845_at,0.8963671053742417,0.021060212675328316,0.955922610578269,False
ACP1,201629_s_at,0.0020866615630992305,0.5667472866079182,0.032234021222705474,True
ACP2,202767_at,0.41988770194744574,-0.10289913165413367,0.6780952067324926,False
ACP5,204638_at,0.012032478394412073,0.39924667858888974,0.10180037118611475,False
ACP6,218795_at,0.2738764683524301,0.15288952795651767,0.5576888736449969,False
ACPP,204393_s_at,0.40421305800603313,0.15347557194367667,0.6652189076118264,False
ACR,207427_at,0.07322707296255554,-0.39631538483531337,0.28397474187689264,False
ACRV1,207969_x_at,0.06828708042725692,-0.1521346865090738,0.27289114296279876,False
ACSBG1,206466_at,0.12434506439035882,-0.27149546261628466,0.37646481926771275,False
ACSBG2,221716_s_at,0.10417828204630883,-0.21090553561719538,0.34149871190170134,False
ACSF2,218844_at,0.05659481456255888,-0.3409812940776442,0.24756620590842157,False
ACSL1,207275_s_at,1.0654415104525863e-08,-1.1855433122846932,1.5416385180139597e-06,True
ACSL3,201662_s_at,0.0019014026044243705,0.47305431111321994,0.03017731783076086,True
ACSL4,202422_s_at,0.3505733981574727,-0.2925733334636407,0.624147254006309,False
ACSL5,218322_s_at,0.10816262031714599,-0.1896462311465381,0.3492013428755381,False
ACSL6,216409_at,0.20009676481962735,-0.16848621644205863,0.47588506040049866,False
ACSM1,215432_at,0.28226027931540526,-0.1419105471792621,0.5651609359789808,False
ACSM2A /// ACSM2B,214069_at,0.7023177582747471,0.07510452259803468,0.8595795176821485,False
ACSM3,210377_at,0.3002224561941027,-0.2567011472492897,0.5802634219249884,False
ACSM5,220061_at,6.79537955041102e-11,-1.615846130877613,2.0742663359151887e-08,True
ACSS3,219616_at,0.01690784856284144,-0.3648245823827452,0.1253452110163146,False
ACTA1,203872_at,0.2526853429183277,-0.24264525544422177,0.5363254922392392,False
ACTA2,215787_at,0.006355365782050196,-0.40281096389393767,0.06743663634984731,False
ACTB,AFFX-HSAC07/X00351_M_at,0.2080948111979981,0.3092339804474662,0.48508538529916967,False
ACTB /// ACTG1,213214_x_at,0.009495084338801673,0.3882547274254815,0.08753784208585755,False
ACTBP9 /// ACTBP9,217211_at,0.12622801332098232,0.2781430348436542,0.37956792173132325,False
ACTC1,205132_at,0.4408559239087213,-0.08801501665633182,0.6961149827187637,False
ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B,208498_s_at,0.29239467094596167,-0.33099261030763216,0.5734909297323179,False
ACTG2,202274_at,0.10294921802606277,0.3025016342661342,0.3391510090589528,False
ACTL6A,202666_s_at,0.16494351270326535,0.18047533605444244,0.4336797986509571,False
ACTL6B,206014_at,0.07189908254249423,-0.20247476778025408,0.280779399981493,False
ACTL7A,220501_at,0.0654402390499294,-0.31262820735814234,0.26648480386505424,False
ACTL7B,220498_at,0.2077712922559659,-0.1490491938054701,0.48482938147147014,False
ACTL8,214957_at,0.6590067495805898,-0.05477396353869057,0.8368642492297216,False
ACTN1,208636_at,0.49420825007376845,0.09089216283108748,0.7343525096075378,False
ACTN2,203861_s_at,0.07590669392124277,-0.19344102052772705,0.2896778319313329,False
ACTN3,206891_at,0.09816550487752237,-0.20706513824092276,0.331358557840372,False
ACTN4,200601_at,0.053110525134557836,0.32494350517562154,0.23908319829764693,False
ACTR10,222230_s_at,0.4818203104527048,0.161363389835655,0.7253835536664834,False
ACTR1A,200720_s_at,0.0005844845152114435,-0.5261055901190836,0.012791050460720625,True
ACTR1B,202135_s_at,0.924013397665467,-0.012014094169000344,0.9686578161544788,False
ACTR2,200729_s_at,0.0012788814418921359,0.84382198281223,0.022725131714260337,True
ACTR3,200996_at,0.0007345196965792781,0.6491518817136459,0.015156676849226629,True
ACTR3B,218868_at,0.9204027963520484,-0.016386846961330193,0.9669197827123989,False
ACTR3P2 /// ACTR3P2,216814_at,0.15614093291261633,-0.30392460300605073,0.42250011027223194,False
ACTR5,222147_s_at,0.22817419359810412,0.1864195814197167,0.5093573989126983,False
ACTR6,218395_at,0.12095539738797638,0.34973141141159125,0.37057415068760574,False
ACTR8,218658_s_at,0.24560914876704007,-0.19230747895874067,0.5280182018307722,False
ACVR1,203935_at,0.576977172047289,0.08424200427671735,0.7896350406137852,False
ACVR1B,213198_at,0.03728768314006643,-0.20089824970198222,0.19742347495527696,False
ACVR2A,205327_s_at,0.6880986766432085,-0.05071256750967024,0.8534399872893584,False
ACVR2B,220028_at,0.07614451626527935,-0.26635100946464085,0.29043619581294416,False
ACVR2B-AS1,215590_x_at,0.0031871060931988977,-0.3803051076467785,0.04359624620917805,True
ACVRL1,210838_s_at,0.13597547917567726,-0.41179009680701295,0.3948321087401116,False
ACYP1,205260_s_at,0.08512215525234977,0.4734748019553887,0.30694075391826886,False
ACYP2 /// LOC101927144,206833_s_at,0.14810851917072634,-0.1575932673319862,0.4121771116125009,False
ADA,204639_at,0.11187190428946679,-0.34013768363239016,0.35445225942666053,False
ADAM10,202603_at,0.007878626328202425,0.3024284030001585,0.07778441757702022,False
ADAM11,207880_at,0.1464627933893483,-0.2103280047551026,0.40995046692844495,False
ADAM12,202952_s_at,0.28325480158228666,0.31525859619105034,0.5658069659548364,False
ADAM15,217007_s_at,0.6809328289627652,-0.051327477532221444,0.8488297445292339,False
ADAM17,213532_at,0.012038054933151387,0.48330273298208226,0.10180037118611475,False
ADAM18,207597_at,0.06275496357690842,-0.21190686862540886,0.2604523846869529,False
ADAM19,221128_at,0.3942083921986257,-0.114422035692888,0.6581856438904523,False
ADAM2,207664_at,0.9751906137119148,-0.008435184701054865,0.9898197584792995,False
ADAM20,207423_s_at,0.3980173844549453,-0.1116602442581538,0.6611301536412507,False
ADAM21,207665_at,0.41832328859910417,-0.07932077853771702,0.6768651661861154,False
ADAM22,208227_x_at,0.007080151684446463,-0.34485583979568535,0.07267020727062208,False
ADAM23,213808_at,3.889409437416413e-06,-0.9644646139950614,0.00021996880836027904,True
ADAM28,208269_s_at,0.2646703167532526,-0.16133801882948262,0.5479049301572583,False
ADAM29 /// LOC101928551,221337_s_at,0.4727864301681203,-0.11910906973810498,0.7193482927978686,False
ADAM30,221446_at,0.08064297453731446,-0.1837109542183697,0.2993448944885854,False
ADAM3A,216276_s_at,0.8499577950761064,0.04730862412128012,0.9336295744691352,False
ADAM3B /// ADAM3B,217237_at,0.6049696186723876,0.10345432051918735,0.8073825906510944,False
ADAM5,217003_s_at,0.11608970365318061,-0.18305670769618665,0.36219922521756137,False
ADAM7,211239_s_at,0.049687161033220094,-0.41427286448324985,0.23025454996858538,False
ADAM8,205180_s_at,0.32554853709091036,0.1228358245083836,0.6029414794447577,False
ADAM9,202381_at,0.5672917440222007,0.1214607399612806,0.7834874288973115,False
ADAMDEC1,206134_at,0.7954436019970836,-0.03564949620441382,0.909620742240635,False
ADAMTS1,222162_s_at,3.182234861217183e-05,-1.3340450811602,0.0012753550254047212,True
ADAMTS12,221421_s_at,0.3064382447001384,-0.12071185091312842,0.5860403912112114,False
ADAMTS13,220208_at,0.08797835397075181,-0.31371763657462015,0.31222232938410777,False
ADAMTS2,214454_at,0.26338109985564834,-0.17186129944302664,0.5473902983903597,False
ADAMTS20,220717_at,0.6418260061978823,-0.06742506217025834,0.8266768216911311,False
ADAMTS3,214913_at,0.14618561173613143,-0.2358409274692388,0.40943363327252597,False
ADAMTS5,219935_at,3.4765333635123506e-08,-0.9268359993130879,4.164924351566973e-06,True
ADAMTS6,220866_at,0.022968303173203874,-0.2752903131728015,0.1493442368276924,False
ADAMTS7,220706_at,0.0004696487572193168,-0.5197925232085199,0.010935405702317696,True
ADAMTS8,220677_s_at,0.1955973535097037,-0.16206868312292855,0.47062907118634356,False
ADAMTS9,220287_at,0.39590402477523357,-0.10092060676488224,0.6595333889638981,False
ADAMTSL2,206629_at,0.22531217654842559,-0.13308948446123559,0.505959007359525,False
ADAMTSL3,213974_at,0.18165518981370088,-0.218408233589777,0.45372746686807486,False
ADAMTSL4,220578_at,0.09209447472075659,-0.18098555137622263,0.3206992484773727,False
ADAP1,90265_at,0.01553471281788082,-0.39536217842955956,0.11907808934325362,False
ADAP2,219358_s_at,0.25689722337027837,-0.24290575499023248,0.5403984544850291,False
ADAR,201786_s_at,0.02913965484566288,0.3454705988895501,0.17186843010214556,False
ADARB1,203865_s_at,0.0060860528806923955,-0.3839528048974179,0.06576892160061525,False
ADARB2,220648_at,0.052887928519282354,-0.4132668106353048,0.2385350591351564,False
ADAT1,219384_s_at,0.9830893687066453,0.0031188640499042464,0.9938381454899817,False
ADCK2,44120_at,0.010434517312794891,0.45714910532179864,0.09248701244272417,False
ADCK3,218168_s_at,1.304975914411917e-13,-1.9882499361323918,1.5304620158337233e-10,True
ADCK4,220434_at,0.12512242912349172,0.2511740936587703,0.3777162499301803,False
ADCY1,215340_at,0.0058938988177964086,-0.4670757827186591,0.06453746798867684,False
ADCY10,217305_s_at,0.16858217262960032,-0.2076456347359681,0.43817993149485407,False
ADCY2,213217_at,0.0045204970305232324,0.5776236691266519,0.055013782267148655,False
ADCY3,209320_at,0.0329466453780798,-0.2292048102717157,0.1838592784772733,False
ADCY6,209195_s_at,0.0006764679838911161,-0.5172870837647405,0.014315039017137455,True
ADCY7,203741_s_at,0.556198286064052,-0.17075592623259084,0.7761968546110878,False
ADCY8,206811_at,0.8521317637429388,-0.045429326612062226,0.9350956412628733,False
